Airport,Code,City,Lat,Long,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20
Hartsfield-Jackson Atlanta Internation Airport,ATL,"Atlanta, US",33.635905,-84.431117,9513870,8699537,9094827,8310329,7790620,4612678,453362,846919,1586596
Beijing Capital International Airport,PEK,"Beijing, CN",40.047604,116.613244,8645300,8040000,8160200,7295800,1132000,898869,565331,1612500,1505800
Los Angeles International Airport,LAX,"Los Angeles, US",33.947812,-118.413758,7194836,6731520,7478418,6678451,5821460,3287411,299364,575728,1033861
O'Hare International Airport,ORD,"Chicago, US",41.9802,-87.908908,7540084,6590075,6880039,5881671,5576393,3416628,341670,700874,1225304
Heathrow Airport,LHR,"London, UK",51.482085,-0.453121,7064779,6233801,6696079,6099370,5441862,3106845,206324,227230,350283
Shanghai Pudong International Airport,PVG,"Shanghai, CN",31.162758,121.79476,6283600,5955300,6007400,5993100,1131500,952800,813437,1401299,1920114
Charles de Gaulle Airport,CDG,"Paris, FR",49.00948,2.556219,6645689,5662345,5784144,5520481,5071957,2501016,128152,204394,625963
Dallas/Fort Worth International Airport,DFW,"Dallas/Fort Worth, US",32.876251,-97.038449,6377552,6001075,6394228,5783847,5557975,3327669,483713,1353656,2213443
Guangzhou Baiyun International Airport,CAN,"Guangzhou, CN",23.190792,113.274829,6347500,6213700,6308000,5782700,966300,1637896,1645480,2482514,3104400
Amsterdam Airport Schiphol,AMS,"Amsterdam, NL",52.309672,4.762127,6431443,5323590,5386203,5074773,4719769,2476372,126015,207827,471410
Hong Kong International Airport,HKG,"Hong Kong, CN",22.308988,113.915088,5374000,5026000,5715000,5719000,1883000,576000,32000,35000,59000
Incheon International Airport,ICN,"Seoul/Incheon, KR",37.449422,126.453246,5882345,5570470,6093340,6309369,3381632,609516,153514,137924,182523
Frankfurt Airport,FRA,"Frankfurt am Main, DE",50.055921,8.590379,6433845,5065742,4868689,4620966,4372562,2124005,188078,272826,599314
Denver International Airport,DEN,"Denver, US",39.846386,-104.674009,6073368,5304165,5788959,5198334,4908375,2923357,299098,834871,1750368
Indira Gandhi International Airport,DEL,"New Dehli, IN",28.556478,77.086735,6010628,6327760,6308530,6099761,5993157,3525315,20624,195185,1015529
Singapore Changi Aiport,SIN,"Changi, SG",5.943623,116.050962,5646643,5718386,6414495,5950940,3446022,1649662,25189,24504,48241
Suvarnabhumi Airport,BKK,"Bangkok, TH",13.710762,100.769012,5329782,5539559,6030737,6104143,3901223,1962348,62142,55280,187009
John F. Kennedy International Airport,JFK,"New York City, US",40.645699,-73.783423,5341293,4731477,5253003,4802557,4298789,2423207,96925,150060,402555
,,,,,,,,,,,,,
,,,,,,,,,,,,,
